tconst	ordering	nconst	primaryName	birthYear	category	job	characters
tt10054620	1	nm10539122	Victor Sotberg	\N	self	\N	["Self"]
tt10054620	2	nm4207386	Albert Cerný	1989	archive_footage	\N	["Self"]
tt10054620	3	nm10387795	Antonín Hrabal	\N	archive_footage	\N	["Self"]
tt10054620	4	nm10361831	Jeroným Subrt	\N	archive_footage	\N	["Self"]
tt10054620	5	nm10539122	Victor Sotberg	\N	director	\N	\N
tt10054620	6	nm10539122	Victor Sotberg	\N	writer	\N	\N
tt10054620	7	nm10539122	Victor Sotberg	\N	producer	producer	\N
tt10187144	1	nm4368232	Marco Pasqua	1985	self	\N	["Self - Host"]
tt10187144	2	nm9263162	Esabella Anna Karena Strickland	\N	self	\N	["Self - Variety Youth Ambassador"]
tt11777708	1	nm4368232	Marco Pasqua	1985	self	\N	["Self - Host"]
tt11777708	2	nm9263162	Esabella Anna Karena Strickland	\N	self	\N	["Self - Variety Youth Ambassador"]
tt13411478	1	nm9150654	Ayeesha Cervantes	2000	actress	\N	["Khaycee"]
tt13411478	2	nm6004468	Sanya Lopez	\N	actress	\N	["Kathleen"]
tt13411478	3	nm0667074	Alan Paule	\N	actor	\N	["Tatay"]
tt13411478	4	nm6964074	Rommel Penesa	\N	director	\N	\N
tt13977540	1	nm4368232	Marco Pasqua	1985	self	\N	["Self - Host"]
tt13977540	2	nm9263162	Esabella Anna Karena Strickland	\N	self	\N	["Self - Host"]
tt15362080	1	nm12020645	Alexandra Abdon	\N	actress	\N	\N
tt15362080	2	nm5700146	Bryan Benedict	\N	actor	\N	\N
tt15362080	3	nm1940324	Kiray Celis	1995	actress	\N	\N
tt15362080	4	nm12226082	Katkat Dasalla	\N	actor	\N	["Gigi"]
tt15362080	5	nm11040318	Faye Lorenzo	1996	actress	\N	\N
tt15362080	6	nm4495826	Derrick Monasterio	1995	actor	\N	\N
tt15362080	7	nm1234102	Lovely Rivero	\N	actress	\N	\N
tt15362080	8	nm2907344	Jojo Nadela	\N	director	\N	\N
tt15362080	9	nm7702911	Erwin Caezar Bravo	\N	writer	\N	\N
tt15362080	10	nm7929613	Riza Del Rio	\N	writer	\N	\N
tt15362080	11	nm7697448	John Mychal Feraren	\N	producer	producer	\N
tt15362080	12	nm3408288	Jay Ramirez	\N	cinematographer	\N	\N
tt15362080	13	nm3507362	Arthur Maningas	\N	production_designer	\N	\N
tt16979830	1	nm5375633	Arkin Del Rosario	\N	actor	\N	\N
tt16979830	2	nm13285392	Celine Fajardo	\N	actress	\N	\N
tt16979830	3	nm6785714	Jayvhot Galang	\N	actor	\N	\N
tt16979830	4	nm11576319	Bench Hipolito	\N	actor	\N	\N
tt16979830	5	nm1951481	Almira Muhlach	\N	actress	\N	\N
tt16979830	6	nm11875153	Paolo Pangilinan	\N	actor	\N	\N
tt16979830	7	nm0894969	Gardo Versoza	1969	actor	\N	\N
tt16979830	8	nm2884924	Ray Gibraltar	1976	director	\N	\N
tt16979830	9	nm7702911	Erwin Caezar Bravo	\N	writer	\N	\N
tt16979830	10	nm6628470	John Anthony Rodulfo	\N	writer	writer	\N
tt16979830	11	nm3408288	Jay Ramirez	\N	cinematographer	\N	\N
tt16979890	1	nm12453860	Bernie Batin	\N	actor	\N	\N
tt16979890	2	nm7999005	Dave Bornea	\N	actor	\N	\N
tt16979890	3	nm2687525	Max Collins	1992	actress	\N	\N
tt16979890	4	nm0351270	Tanya Gomez	\N	actress	\N	\N
tt16979890	5	nm11576319	Bench Hipolito	\N	actor	\N	\N
tt16979890	6	nm5600379	Jak Roberto	1993	actor	\N	\N
tt16979890	7	nm2907344	Jojo Nadela	\N	director	\N	\N
tt16979890	8	nm7702911	Erwin Caezar Bravo	\N	writer	\N	\N
tt16979890	9	nm4107981	Reign Loleng	\N	writer	\N	\N
tt16979890	10	nm7697448	John Mychal Feraren	\N	producer	producer	\N
tt16979890	11	nm3408288	Jay Ramirez	\N	cinematographer	\N	\N
tt16979890	12	nm3507362	Arthur Maningas	\N	production_designer	\N	\N
tt16979990	1	nm1951481	Almira Muhlach	\N	actress	\N	\N
tt16979990	2	nm0659340	Tina Paner	\N	actress	\N	\N
tt16979990	3	nm0721287	Gladys Reyes	1976	actress	\N	\N
tt16979990	4	nm1137826	Manilyn Reynes	1972	actress	\N	\N
tt16979990	5	nm4221236	Anna Vicente	\N	actress	\N	\N
tt16979990	6	nm2061643	Ahron Villena	\N	actor	\N	\N
tt16979990	7	nm11874755	Jomar Yee	\N	actor	\N	\N
tt16979990	8	nm2907344	Jojo Nadela	\N	director	\N	\N
tt16979990	9	nm7702911	Erwin Caezar Bravo	\N	writer	\N	\N
tt16979990	10	nm4107981	Reign Loleng	\N	writer	\N	\N
tt16979990	11	nm7697448	John Mychal Feraren	\N	producer	producer	\N
tt16979990	12	nm3408288	Jay Ramirez	\N	cinematographer	\N	\N
tt16979990	13	nm3507362	Arthur Maningas	\N	production_designer	\N	\N
tt16980416	1	nm10583343	Claire Castro	1998	actress	\N	\N
tt16980416	2	nm12226082	Katkat Dasalla	\N	actor	\N	\N
tt16980416	3	nm8527068	Lexi Gonzales	\N	actress	\N	\N
tt16980416	4	nm3851363	Fabio Ide	\N	actor	\N	\N
tt16980416	5	nm2049543	Vicky Morales	\N	actress	\N	\N
tt16980416	6	nm13285553	Beatrice Santos	\N	actress	\N	\N
tt16980416	7	nm1192396	Katya Santos	1982	actress	\N	\N
tt16980416	8	nm2907344	Jojo Nadela	\N	director	\N	\N
tt16980416	9	nm1870695	Monti Parungao	\N	director	\N	\N
tt16980416	10	nm7702911	Erwin Caezar Bravo	\N	writer	\N	\N
tt16980416	11	nm4918318	Evie Macapugay	\N	writer	\N	\N
tt16980416	12	nm7697448	John Mychal Feraren	\N	producer	producer	\N
tt16980416	13	nm8175900	Mark Ginolos	\N	cinematographer	\N	\N
tt16980416	14	nm3408288	Jay Ramirez	\N	cinematographer	\N	\N
tt16980416	15	nm3507362	Arthur Maningas	\N	production_designer	\N	\N
tt16980488	1	nm1383883	Tess Antonio	\N	actress	\N	\N
tt16980488	2	nm2669712	Jennica Garcia	1989	actress	\N	\N
tt16980488	3	nm4530823	Kyle Ocampo	\N	actress	\N	\N
tt16980488	4	nm1288405	Rafael Rosell	1982	actor	\N	\N
tt16980488	5	nm1667489	Sheree	1981	actress	\N	\N
tt16980488	6	nm2907344	Jojo Nadela	\N	director	\N	\N
tt16980488	7	nm7702911	Erwin Caezar Bravo	\N	writer	\N	\N
tt16980488	8	nm4107981	Reign Loleng	\N	writer	\N	\N
tt16980488	9	nm7697448	John Mychal Feraren	\N	producer	producer	\N
tt16980488	10	nm3408288	Jay Ramirez	\N	cinematographer	director of photography	\N
tt16980488	11	nm3507362	Arthur Maningas	\N	production_designer	\N	\N
tt16980594	1	nm13285591	Divine	\N	actor	\N	\N
tt16980594	2	nm5636764	Jon Lucas	\N	actor	\N	\N
tt16980594	3	nm5993593	Ashley Ortega	\N	actress	\N	\N
tt16980594	4	nm1667489	Sheree	1981	actress	\N	\N
tt16980594	5	nm1296578	Joshua Zamora	\N	actor	\N	\N
tt16980594	6	nm9788621	Eugene Sean Aleta	\N	director	\N	\N
tt16980594	7	nm7702911	Erwin Caezar Bravo	\N	writer	\N	\N
tt16980594	8	nm7929613	Riza Del Rio	\N	writer	\N	\N
tt16980594	9	nm7697448	John Mychal Feraren	\N	producer	producer	\N
tt16980594	10	nm3408288	Jay Ramirez	\N	cinematographer	\N	\N
tt16980594	11	nm3507362	Arthur Maningas	\N	production_designer	\N	\N
tt16980714	1	nm1235108	James Blanco	1981	actor	\N	\N
tt16980714	2	nm6471803	Patricia Coma	\N	actress	\N	\N
tt16980714	3	nm4357054	Clarence Delgado	\N	actor	\N	\N
tt16980714	4	nm1715384	Katrina Halili	1986	actress	\N	\N
tt16980714	5	nm5374875	Brenda Mage	\N	actor	\N	\N
tt16980714	6	nm2907344	Jojo Nadela	\N	director	\N	\N
tt16980714	7	nm7702911	Erwin Caezar Bravo	\N	writer	\N	\N
tt16980714	8	nm7929613	Riza Del Rio	\N	writer	\N	\N
tt16980714	9	nm7697448	John Mychal Feraren	\N	producer	producer	\N
tt16980714	10	nm3408288	Jay Ramirez	\N	cinematographer	director of photography	\N
tt17044854	1	nm13300846	Lime Aranya	\N	actress	\N	\N
tt17044854	2	nm9975066	Vince Crisostomo	\N	actor	\N	\N
tt17044854	3	nm0233616	Dexter Doria	1955	actress	\N	\N
tt17044854	4	nm10313112	Hailey Mendes	\N	actress	\N	\N
