tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres								
tt0188360	tvSeries	Show of Hearts	Show of Hearts	0	2015	\N	1320	Comedy								
tt0383158	tvSeries	Voetbal Inside	Voetbal Inside	0	2015	2018	60	Sport	Talk-Show							
tt0400059	tvSeries	Wish ko lang	Wish ko lang	0	2015	\N	\N	Crime	Documentary	Drama						
tt10003494	tvSeries	Weird Norwegian	Weird Norwegian	0	2015	\N	15	Reality-TV								
tt10003848	tvSeries	Kormányinfó	Kormányinfó	0	2015	\N	\N	Talk-Show								
tt10006668	tvSeries	Swallow Salon	Swallow Salon	1	2015	\N	\N	Adult								
tt10007992	tvSeries	The Battle Show	The Battle Show	0	2015	2015	\N	Sport	Talk-Show							
tt10010920	tvSeries	Bhagyalaxmi	Bhagyalaxmi	0	2015	2016	22	Drama								
tt10011708	tvSeries	The Graduates	The Graduates	0	2015	2015	\N	Comedy								
tt10013956	tvSeries	Nation Decay	Nation Decay	0	2015	\N	\N	Documentary	History							
tt10016366	tvSeries	Livshutter	Livshutter	0	2015	\N	\N	Reality-TV								
tt10020990	tvSeries	The Style Project	The Style Project	0	2015	\N	\N	Talk-Show								
tt10022066	tvSeries	Bir Deniz Hikayesi	Bir Deniz Hikayesi	0	2015	2015	120	Drama								
tt10023142	tvSeries	Quite Frankly	Quite Frankly	0	2015	\N	\N	News	Talk-Show							
tt10025350	tvSeries	Rearranged Love	 Deceptive Marriage	Jatt Ruk	0	2015	2015	80	Comedy	Drama	Romance					
tt10026520	tvSeries	Gymnastiki gia olous	Gymnastiki gia olous	0	2015	2015	\N	Sport								
tt10027934	tvSeries	Dvoynaya sploshnaya	Dvoynaya sploshnaya	0	2015	2015	\N	Drama								
tt10029118	tvSeries	Nothing Erotic	Nothing Erotic	1	2015	\N	\N	Adult	Short							
tt10029320	tvSeries	Caesar's Vids	Caesar's Vids	0	2015	\N	\N	Short								
tt10032022	tvSeries	Eurovisionmania	Eurovisionmania	0	2015	2015	\N	Music	Talk-Show							
tt10041970	tvSeries	Glitter Critters	Glitter Critters	0	2015	\N	11	Family								
tt10043962	tvSeries	The 19th Hole	The 19th Hole	0	2015	2015	30	Sport								
tt10044150	tvSeries	The Crazy Middles	The Crazy Middles	0	2015	\N	\N	\N								
tt10048540	tvSeries	Sta edrana & stis kerkides	Sta edrana & stis kerkides	0	2015	2015	\N	News	Talk-Show							
tt10052130	tvSeries	The 19th Hole	The 19th Hole	0	2015	2015	30	Sport								
tt10054224	tvSeries	Odigontas soStar	Odigontas soStar	0	2015	2016	\N	Talk-Show								
tt10058722	tvSeries	Supertruckers	Supertruckers	0	2015	2017	45	Documentary								
tt10066160	tvSeries	Lyudmila Gurchenko	Lyudmila Gurchenko	0	2015	2015	44	Biography								
tt10066634	tvSeries	A History of Philosophy	A History of Philosophy	0	2015	\N	\N	Documentary	History							
tt10066650	tvSeries	Pautina 9	Pautina 9	0	2015	2015	\N	Crime								
tt10071394	tvSeries	King of Candy	King of Candy	0	2015	2015	\N	Reality-TV								
tt10071402	tvSeries	Family Practice	Family Practice	0	2015	2015	\N	Reality-TV								
tt10072916	tvSeries	Chyornaya reka	Chyornaya reka	0	2015	2015	\N	Crime	Drama							
tt10073228	tvSeries	Chillout	Chillout	0	2015	2017	\N	Talk-Show								
tt10075018	tvSeries	Eventyrjenter	Eventyrjenter	0	2015	2016	39	Documentary								
tt10075044	tvSeries	Øyeblikket	Øyeblikket	0	2015	2015	1	Documentary	Short							
tt10092164	tvSeries	IDU Curiosity	IDU Curiosity	0	2015	2021	\N	Documentary								
tt10092542	tvSeries	Underground	Underground	0	2015	2018	\N	Talk-Show								
tt10092728	tvSeries	Min bror kollokungen	Min bror kollokungen	0	2015	2016	30	Family								
tt10097244	tvSeries	What T.O. Do?	What T.O. Do?	0	2015	\N	\N	Talk-Show								
tt10100512	tvSeries	Moja mama varí lepsie ako tvoja	Moja mama varí lepsie ako tvoja	0	2015	\N	60	Game-Show								
tt10107244	tvSeries	Mamma Mima TV	Mamma Mima TV	0	2015	2019	\N	Documentary								
tt10107618	tvSeries	Prosecutors	Prokurory	0	2015	2016	\N	Crime								
tt10107884	tvSeries	Vogue Williams Investigates	Vogue Williams Investigates	0	2015	\N	\N	Documentary								
tt10111536	tvSeries	So! Muncu!	So! Muncu!	0	2015	\N	\N	Talk-Show								
tt10117618	tvSeries	Baren - Pop up	Baren - Pop up	0	2015	2015	\N	Reality-TV								
tt10117704	tvSeries	MasterChef Cesko	MasterChef Cesko	0	2015	\N	\N	Reality-TV								
tt10122490	tvSeries	Travel in Greece	Gyrismata stin Ellada	0	2015	\N	50	Documentary								
tt10122670	tvSeries	Love School	Love School	0	2015	\N	\N	Reality-TV								
tt10122710	tvSeries	Hannah Gadsby: Renaissance Woman	Hannah Gadsby: Renaissance Woman	0	2015	2015	\N	Comedy								
